cntry,agea,Gender,Education_Level,Occupation_Code_Name,hinctnta,Pol_Interest_Level,lrscale,Vote_Status,Interpersonal_Trust,Institutional_Trust,National_Econ_Sat,Household_Fin_Sat,Pol_News_Freq,Internet_Use_Freq,happy
ME,64.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,4.0,Middle,5.0,Yes,Medium,Low,Middle,Middle,Middle,Rarely,5.0
IS,29.0,Male,Tertiary/Bachelor's Degree,5-Service and Sales Workers,4.0,Middle,4.0,Yes,Medium,Low,Pessimistic,Optimistic,Often,Often,4.0
GB,35.0,Male,Upper Secondary/Vocational,3-Technicians and Associate Professionals,5.0,High,1.0,No,Low,Low,Pessimistic,Middle,Rarely,Often,10.0
BG,49.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,5.0,Middle,5.0,Yes,Low,Low,Pessimistic,Middle,Often,Often,5.0
LV,70.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,5.0,High,3.0,Yes,Low,Low,Pessimistic,Pessimistic,Often,Rarely,3.0
PL,57.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,3.0,Middle,0.0,Yes,Medium,Low,Pessimistic,Optimistic,Middle,Rarely,10.0
IT,45.0,Female,Low (Primary/Lower Secondary),7-Craft and Related Trades Workers,5.0,Middle,10.0,Yes,Low,Low,Pessimistic,Middle,Often,Often,1.0
SE,47.0,Male,Tertiary/Bachelor's Degree,9-Elementary Occupations,2.0,Low,0.0,Yes,Low,Low,Middle,Pessimistic,Middle,Often,5.0
LV,61.0,Male,Tertiary/Bachelor's Degree,9-Elementary Occupations,1.0,Middle,5.0,,Low,Low,Pessimistic,Optimistic,Rarely,Rarely,5.0
CY,57.0,Male,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",3.0,High,1.0,Yes,Low,Medium,Pessimistic,Middle,Often,Rarely,0.0
DE,42.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,3.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Optimistic,Often,Often,5.0
GB,52.0,Female,Tertiary/Bachelor's Degree,2-Professionals,1.0,Low,0.0,Yes,Low,Low,Pessimistic,Optimistic,Rarely,Rarely,10.0
PT,25.0,Male,Tertiary/Bachelor's Degree,7-Craft and Related Trades Workers,5.0,Middle,4.0,Yes,Low,Low,Pessimistic,Pessimistic,Rarely,Often,2.0
AT,59.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,2.0,High,2.0,No,Low,Medium,Middle,Pessimistic,Rarely,Rarely,4.0
SI,26.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,3.0,Middle,5.0,Yes,Low,Low,Pessimistic,Middle,Rarely,Rarely,10.0
PT,50.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,1.0,Middle,10.0,No,Low,Medium,Pessimistic,Optimistic,Middle,Often,5.0
ME,73.0,Female,Tertiary/Bachelor's Degree,4-Clerical Support Workers,4.0,Middle,10.0,Yes,Low,Low,Pessimistic,Optimistic,Rarely,Rarely,10.0
DE,35.0,Male,Tertiary/Bachelor's Degree,7-Craft and Related Trades Workers,4.0,Middle,5.0,Yes,Medium,Low,Middle,Optimistic,Middle,Often,2.0
FR,40.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,3.0,High,5.0,Yes,Low,Low,Pessimistic,Middle,Often,Often,3.0
HU,45.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,4.0,High,5.0,Yes,Medium,Low,Pessimistic,Middle,Middle,Often,5.0
SK,51.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,3.0,Middle,0.0,Yes,Low,Low,Pessimistic,Middle,Rarely,Rarely,10.0
HU,51.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,4.0,Middle,1.0,Yes,Low,Low,Pessimistic,Middle,Middle,Rarely,10.0
