cntry,agea,Gender,Education_Level,Occupation_Code_Name,hinctnta,Pol_Interest_Level,lrscale,Vote_Status,Interpersonal_Trust,Institutional_Trust,National_Econ_Sat,Household_Fin_Sat,Pol_News_Freq,Internet_Use_Freq,happy
ME,64.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,3.0,Middle,5.0,Yes,Medium,Medium,Middle,Middle,Middle,Rarely,5.0
SI,59.0,Female,Tertiary/Bachelor's Degree,3-Technicians and Associate Professionals,5.0,Low,3.0,Yes,Medium,Medium,Middle,Optimistic,Middle,Often,10.0
GR,56.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,4.0,High,5.0,No,Low,Low,Pessimistic,Middle,Middle,Often,2.0
FR,57.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,3.0,Middle,5.0,Yes,Low,Low,Pessimistic,Optimistic,Often,Rarely,5.0
ME,68.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,3.0,High,5.0,Yes,Low,Medium,Pessimistic,Middle,Rarely,Rarely,4.0
ES,43.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,4.0,Middle,10.0,No,Low,Medium,Optimistic,Optimistic,Middle,Rarely,10.0
SK,38.0,Female,Upper Secondary/Vocational,3-Technicians and Associate Professionals,4.0,Middle,5.0,No,Low,Low,Pessimistic,Middle,Often,Often,4.0
AT,56.0,Female,Upper Secondary/Vocational,4-Clerical Support Workers,3.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Middle,Middle,Rarely,5.0
DE,35.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,4.0,Middle,5.0,Yes,Low,Low,Pessimistic,Optimistic,Often,Often,5.0
ME,45.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,4.0,High,3.0,Yes,Low,Medium,Middle,Pessimistic,Middle,Rarely,10.0
BG,41.0,Female,Upper Secondary/Vocational,3-Technicians and Associate Professionals,10.0,High,4.0,No,Low,Low,Pessimistic,Optimistic,Rarely,Often,10.0
BG,62.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,5.0,Middle,5.0,Yes,Medium,Low,Middle,Middle,Often,Often,5.0
BG,62.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,5.0,Middle,2.0,Yes,Low,Low,Pessimistic,Optimistic,Often,Rarely,5.0
ME,64.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,4.0,Middle,5.0,Yes,Low,Medium,Middle,Middle,Middle,Rarely,5.0
