cntry,agea,Gender,Education_Level,Occupation_Code_Name,hinctnta,Pol_Interest_Level,lrscale,Vote_Status,Interpersonal_Trust,Institutional_Trust,National_Econ_Sat,Household_Fin_Sat,Pol_News_Freq,Internet_Use_Freq,happy
PT,59.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,1.0,High,5.0,Yes,Low,Low,Pessimistic,Pessimistic,Often,Often,10.0
LT,38.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,5.0,High,5.0,Yes,Medium,High,Middle,Optimistic,Rarely,Often,10.0
ME,39.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,5.0,Middle,4.0,Yes,Low,Medium,Pessimistic,Pessimistic,Often,Rarely,10.0
IT,52.0,Male,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",3.0,Middle,5.0,No,Low,Medium,Pessimistic,Middle,Rarely,Often,3.0
IS,38.0,Female,Tertiary/Bachelor's Degree,5-Service and Sales Workers,4.0,Middle,3.0,Yes,Medium,Low,Middle,Optimistic,Rarely,Often,5.0
FR,19.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,10.0,Low,5.0,No,Low,Low,Pessimistic,Optimistic,Middle,Often,5.0
PL,44.0,Male,Low (Primary/Lower Secondary),1-Managers,10.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Optimistic,Rarely,Often,10.0
BE,56.0,Female,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",4.0,High,10.0,No,Low,Low,Pessimistic,Optimistic,Rarely,Rarely,5.0
DE,45.0,Male,Upper Secondary/Vocational,3-Technicians and Associate Professionals,1.0,High,5.0,No,Low,Low,Pessimistic,Optimistic,Often,Often,5.0
FR,48.0,Female,Tertiary/Bachelor's Degree,3-Technicians and Associate Professionals,5.0,Middle,2.0,Yes,Low,Low,Pessimistic,Optimistic,Middle,Often,5.0
LT,64.0,Female,Upper Secondary/Vocational,"6-Skilled Agricultural, Forestry and Fishery Workers",1.0,Middle,10.0,Yes,Medium,Low,Pessimistic,Middle,Rarely,Rarely,2.0
PT,56.0,Male,Low (Primary/Lower Secondary),7-Craft and Related Trades Workers,5.0,High,5.0,No,Low,Low,Pessimistic,Middle,Rarely,Rarely,4.0
ME,44.0,Female,Upper Secondary/Vocational,2-Professionals,5.0,High,5.0,Yes,Medium,Medium,Middle,Optimistic,Middle,Rarely,5.0
ES,74.0,Male,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",4.0,Middle,5.0,No,High,Medium,Middle,Optimistic,Often,Often,10.0
PT,79.0,Male,Low (Primary/Lower Secondary),3-Technicians and Associate Professionals,4.0,High,0.0,Yes,Low,Low,Middle,Optimistic,Often,Often,10.0
PT,39.0,Female,Upper Secondary/Vocational,"8-Plant and Machine Operators, and Assemblers",10.0,Middle,5.0,No,Medium,Low,Middle,Optimistic,Often,Often,10.0
LT,43.0,Male,Upper Secondary/Vocational,4-Clerical Support Workers,3.0,Middle,3.0,Yes,Low,Low,Pessimistic,Pessimistic,Middle,Rarely,5.0
SI,35.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,4.0,Middle,5.0,No,Medium,Medium,Middle,Optimistic,Rarely,Rarely,10.0
SK,51.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,3.0,Middle,0.0,Yes,Low,Low,Pessimistic,Middle,Rarely,Rarely,10.0
BE,16.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,2.0,Middle,5.0,,Low,Low,Pessimistic,Optimistic,Rarely,Often,2.0
ME,52.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,5.0,Middle,5.0,Yes,Medium,Low,Middle,Middle,Rarely,Rarely,5.0
